Policy_ID,Policy_Number,Customer_ID_x,Vehicle_ID,IMD_Code,RID,RED,IDV_x,Policy_Tenure,Policy_Term,Policy_Status,Claim_Amount,Claim_Count,NCB,Premium,Polciy_Holder_Name,Mobile_Number,Customer_Area,District_x,Customer_ID_y,Registration_Number,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_First_Registration_Date,Vehicle_Age,IDV_y,Entity_Name,Channel_Type,Area,District_y,Portfolio_Size,Year_Onboarded,Active_Status,Renewed
PID10010,POL10004,CUST10003,VEH10004,IMD10292,2025-11-10,2026-11-09,326394,3,365,Active,0.0,0,0,9791.82,Ayushman Chander,7586857022,Doda,Doda,CUST10003,JK06IJ3099,JK06,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2022-08-12,4,326394,Sharma Vertex Insurance Solutions,POSP,Doda,Doda,86,2023-04-24,Active,0
PID10011,POL10005,CUST10004,VEH10005,IMD10029,2025-03-08,2026-03-07,293683,1,365,Active,0.0,1,0,9691.54,Viraj Tiwari,6126332296,Trikuta Nagar,Jammu,CUST10004,JK02RX6120,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2020,2021-01-16,6,293683,North Reliable Insurance Solutions,Prime Broker,Gandhi Nagar,Jammu,339,2021-08-27,Active,1
PID10012,POL10005,CUST10004,VEH10005,IMD10029,2026-03-08,2027-03-07,293683,2,365,Active,0.0,0,0,8810.49,Viraj Tiwari,6126332296,Trikuta Nagar,Jammu,CUST10004,JK02RX6120,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2020,2021-01-16,6,293683,North Reliable Insurance Solutions,Prime Broker,Gandhi Nagar,Jammu,339,2021-08-27,Active,0
PID10013,POL10006,CUST10005,VEH10006,IMD10378,2025-07-13,2026-07-12,676264,1,365,Active,0.0,0,0,20287.92,Rushil Saini,6713965687,Marh,Jammu,CUST10005,JK02ZU4750,JK02,Mahindra,Scorpio Classic,SUV,Diesel,2184,2019,2020-02-12,7,676264,Khajuria Pioneer Insurance Solutions,Agency,Gandhi Nagar,Jammu,196,2025-05-09,Active,0
PID10014,POL10007,CUST10005,VEH10007,IMD10113,2025-07-27,2026-07-26,484807,1,365,Active,155125.81,0,0,14544.21,Rushil Saini,6713965687,Marh,Jammu,CUST10005,JK02IW7293,JK02,Hyundai,Creta,SUV,Diesel,1497,2018,2018-11-21,8,484807,North Trust Insurance Consultants,Bancassurance,Gandhi Nagar,Jammu,655,2025-06-04,Inactive,0
PID10015,POL10008,CUST10006,VEH10008,IMD10051,2025-05-15,2026-05-14,974265,1,365,Active,0.0,0,0,29227.95,Saumya Mall,6322983639,Talab Tillo,Jammu,CUST10006,JK02BK4165,JK02,Toyota,Fortuner,SUV,Petrol,2755,2017,2017-08-04,9,974265,Gupta Pioneer Insurance Consultants,Agency,Talab Tillo,Jammu,99,2023-04-09,Active,1
PID10016,POL10008,CUST10006,VEH10008,IMD10051,2026-05-15,2027-05-14,974265,2,365,Active,0.0,0,20,23382.36,Saumya Mall,6322983639,Talab Tillo,Jammu,CUST10006,JK02BK4165,JK02,Toyota,Fortuner,SUV,Petrol,2755,2017,2017-08-04,9,974265,Gupta Pioneer Insurance Consultants,Agency,Talab Tillo,Jammu,99,2023-04-09,Active,0
PID10017,POL10009,CUST10007,VEH10009,IMD10172,2022-07-03,2023-07-02,358537,1,365,Active,0.0,0,0,10756.11,Nathaniel Sami,7252583295,Narwal,Jammu,CUST10007,JK02IV8906,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,358537,Raina Global Insurance Associates,Bancassurance,Gandhi Nagar,Jammu,775,2019-05-23,Active,1
PID10018,POL10009,CUST10007,VEH10009,IMD10172,2023-07-03,2024-07-01,358537,2,365,Active,0.0,0,20,8604.89,Nathaniel Sami,7252583295,Narwal,Jammu,CUST10007,JK02IV8906,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,358537,Raina Global Insurance Associates,Bancassurance,Gandhi Nagar,Jammu,775,2019-05-23,Active,1
PID10019,POL10009,CUST10007,VEH10009,IMD10172,2024-07-02,2025-07-01,358537,3,365,Active,0.0,0,25,8067.08,Nathaniel Sami,7252583295,Narwal,Jammu,CUST10007,JK02IV8906,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,358537,Raina Global Insurance Associates,Bancassurance,Gandhi Nagar,Jammu,775,2019-05-23,Active,1
PID10020,POL10009,CUST10007,VEH10009,IMD10172,2025-07-02,2026-07-01,358537,4,365,Active,25655.59,1,35,7690.62,Nathaniel Sami,7252583295,Narwal,Jammu,CUST10007,JK02IV8906,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,358537,Raina Global Insurance Associates,Bancassurance,Gandhi Nagar,Jammu,775,2019-05-23,Active,0
PID10021,POL10010,CUST10008,VEH10010,IMD10010,2024-10-14,2025-10-13,441099,1,365,Active,0.0,0,0,13232.97,Arunima Dugal,6167403959,Trikuta Nagar,Jammu,CUST10008,JK02YP2972,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,2023-05-03,3,441099,Elite Integrity Insurance Associates,Prime Broker,Channi Himmat,Jammu,335,2020-03-17,Active,1
PID10022,POL10010,CUST10008,VEH10010,IMD10010,2025-10-14,2026-10-13,441099,2,365,Active,0.0,0,20,10586.38,Arunima Dugal,6167403959,Trikuta Nagar,Jammu,CUST10008,JK02YP2972,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,2023-05-03,3,441099,Elite Integrity Insurance Associates,Prime Broker,Channi Himmat,Jammu,335,2020-03-17,Active,0
PID10023,POL10011,CUST10008,VEH10011,IMD10378,2025-05-25,2026-05-24,968301,1,365,Active,0.0,0,0,29049.03,Arunima Dugal,6167403959,Trikuta Nagar,Jammu,CUST10008,JK02SW5885,JK02,Kia,Sonet,SUV,Petrol,1197,2023,2023-03-22,3,968301,Khajuria Pioneer Insurance Solutions,Agency,Gandhi Nagar,Jammu,196,2025-05-09,Active,1
PID10024,POL10011,CUST10008,VEH10011,IMD10378,2026-05-25,2027-05-24,968301,2,365,Active,0.0,1,20,25563.15,Arunima Dugal,6167403959,Trikuta Nagar,Jammu,CUST10008,JK02SW5885,JK02,Kia,Sonet,SUV,Petrol,1197,2023,2023-03-22,3,968301,Khajuria Pioneer Insurance Solutions,Agency,Gandhi Nagar,Jammu,196,2025-05-09,Active,0
PID10025,POL10012,CUST10009,VEH10012,IMD10144,2022-12-01,2023-11-30,538591,1,365,Active,0.0,0,0,16157.73,Gayathri Chaudry,6765261449,Katra,Reasi,CUST10009,JK20MX3418,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,538591,Dogra Summit Insurance Point,Dealer,Gandhi Nagar,Jammu,60,2020-08-15,Active,1
PID10026,POL10012,CUST10009,VEH10012,IMD10144,2023-12-01,2024-11-29,538591,2,365,Active,0.0,1,20,14218.8,Gayathri Chaudry,6765261449,Katra,Reasi,CUST10009,JK20MX3418,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,538591,Dogra Summit Insurance Point,Dealer,Gandhi Nagar,Jammu,60,2020-08-15,Active,1
PID10027,POL10012,CUST10009,VEH10012,IMD10144,2024-11-30,2025-11-29,538591,3,365,Active,0.0,0,0,16157.73,Gayathri Chaudry,6765261449,Katra,Reasi,CUST10009,JK20MX3418,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,538591,Dogra Summit Insurance Point,Dealer,Gandhi Nagar,Jammu,60,2020-08-15,Active,1
PID10028,POL10012,CUST10009,VEH10012,IMD10144,2025-11-30,2026-11-29,538591,4,365,Active,128054.09,0,20,12926.18,Gayathri Chaudry,6765261449,Katra,Reasi,CUST10009,JK20MX3418,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,538591,Dogra Summit Insurance Point,Dealer,Gandhi Nagar,Jammu,60,2020-08-15,Active,0
PID10029,POL10013,CUST10010,VEH10013,IMD10461,2025-07-16,2026-07-15,465476,1,365,Active,57085.13,0,0,13964.28,Lajita Chatterjee,7519826617,Rajouri,Rajouri,CUST10010,JK11HS8427,JK11,Honda,Amaze,Sedan,Petrol,1199,2023,2024-03-18,3,465476,Mahindra Global Insurance Point,Prime Broker,Rajouri,Rajouri,541,2025-05-13,Active,0
PID10030,POL10014,CUST10011,VEH10014,IMD10405,2025-08-18,2026-08-17,453687,1,365,Active,0.0,0,0,13610.61,Hemangini Lalla,9503098830,Bishnah,Jammu,CUST10011,JK02JI7144,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2021,2022-10-10,5,453687,Raina Summit Insurance Services,Bancassurance,Gandhi Nagar,Jammu,586,2017-05-18,Active,0
PID10031,POL10015,CUST10012,VEH10015,IMD10355,2025-06-10,2026-06-09,305200,1,365,Active,60467.25,0,0,9156.0,Tripti Yadav,9040771452,Rajouri,Rajouri,CUST10012,JK11QI1645,JK11,Tata,Nexon,SUV,Petrol,1199,2015,2016-01-24,11,305200,Gupta Trust Risk Advisors,Bancassurance,Rajouri,Rajouri,619,2022-11-01,Active,1
PID10032,POL10015,CUST10012,VEH10015,IMD10355,2026-06-10,2027-06-09,305200,2,365,Active,0.0,0,20,7324.8,Tripti Yadav,9040771452,Rajouri,Rajouri,CUST10012,JK11QI1645,JK11,Tata,Nexon,SUV,Petrol,1199,2015,2016-01-24,11,305200,Gupta Trust Risk Advisors,Bancassurance,Rajouri,Rajouri,619,2022-11-01,Active,0
PID10033,POL10016,CUST10013,VEH10016,IMD10221,2025-12-10,2026-12-09,608891,1,365,Active,0.0,0,0,18266.73,Kritika Brar,7257239645,Katra,Reasi,CUST10013,JK20CE4850,JK20,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2025-12-02,1,608891,Verma Elite Insurance,Prime Broker,Trikuta Nagar,Jammu,564,2023-10-25,Active,0
PID10034,POL10017,CUST10014,VEH10017,IMD10399,2025-12-09,2026-12-08,374056,1,365,Active,0.0,0,0,11221.68,Janaki Handa,6352206298,Channi Himmat,Jammu,CUST10014,JK02ON7487,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2019,2019-11-11,7,374056,Elite Fortune Risk Advisors,Prime Broker,Narwal,Jammu,599,2024-01-17,Active,0
PID10035,POL10018,CUST10015,VEH10018,IMD10254,2025-12-31,2026-12-30,1057590,1,365,Active,0.0,0,0,31727.7,Chakradev Kari,6621954781,Trikuta Nagar,Jammu,CUST10015,JK02FB1396,JK02,Mahindra,Thar,SUV,Petrol,2184,2025,2026-08-10,1,1057590,Gupta Apex Insurance Associates,Prime Broker,Canal Road,Jammu,293,2024-07-12,Active,0
PID10036,POL10019,CUST10016,VEH10019,IMD10055,2025-06-11,2026-06-10,537261,1,365,Active,0.0,0,0,16117.83,Fariq Kaul,7447690438,Trikuta Nagar,Jammu,CUST10016,JK02YD6234,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2023,2024-06-11,3,537261,Gupta Global Insurance Solutions,Prime Broker,Bakshi Nagar,Jammu,289,2022-01-13,Active,1
PID10037,POL10019,CUST10016,VEH10019,IMD10055,2026-06-11,2027-06-10,537261,2,365,Active,0.0,0,20,12894.26,Fariq Kaul,7447690438,Trikuta Nagar,Jammu,CUST10016,JK02YD6234,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2023,2024-06-11,3,537261,Gupta Global Insurance Solutions,Prime Broker,Bakshi Nagar,Jammu,289,2022-01-13,Active,0
PID10038,POL10020,CUST10017,VEH10020,IMD10314,2025-07-19,2026-07-18,707634,1,365,Active,78393.78,0,0,21229.02,Lajita Mall,6442294850,Janipur,Jammu,CUST10017,JK02OB1589,JK02,Hyundai,Verna,Sedan,Petrol,1497,2024,2024-10-19,2,707634,Jammu Capital Insurance Services,Prime Broker,Gandhi Nagar,Jammu,514,2020-06-13,Active,0
PID10039,POL10021,CUST10018,VEH10021,IMD10261,2025-07-01,2026-06-30,197910,1,365,Active,0.0,0,0,5937.3,Janya Gaba,9998142403,Padder,Kishtwar,CUST10018,JK17KD1120,JK17,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2015,2016-05-12,11,197910,Royal Elite Risk Advisors,POSP,Kishtwar,Kishtwar,73,2025-02-04,Active,1
PID10040,POL10021,CUST10018,VEH10021,IMD10261,2026-07-01,2027-06-30,197910,2,365,Active,0.0,0,20,4749.84,Janya Gaba,9998142403,Padder,Kishtwar,CUST10018,JK17KD1120,JK17,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2015,2016-05-12,11,197910,Royal Elite Risk Advisors,POSP,Kishtwar,Kishtwar,73,2025-02-04,Active,0
PID10041,POL10022,CUST10019,VEH10022,IMD10106,2024-07-06,2025-07-05,821512,1,365,Active,0.0,0,0,24645.36,Isha Kadakia,7744995712,Bhaderwah,Doda,CUST10019,JK06TG4207,JK06,Hyundai,Venue,SUV,Diesel,1197,2023,2023-07-13,3,821512,Jammu Future Insurance Point,POSP,Doda,Doda,45,2019-09-12,Active,1
PID10042,POL10022,CUST10019,VEH10022,IMD10106,2025-07-06,2026-07-05,821512,2,365,Active,0.0,0,20,19716.29,Isha Kadakia,7744995712,Bhaderwah,Doda,CUST10019,JK06TG4207,JK06,Hyundai,Venue,SUV,Diesel,1197,2023,2023-07-13,3,821512,Jammu Future Insurance Point,POSP,Doda,Doda,45,2019-09-12,Active,0
PID10043,POL10023,CUST10020,VEH10023,IMD10364,2025-06-20,2026-06-19,2206438,1,365,Active,0.0,0,0,66193.14,Ekbal Garg,8570558190,Banihal,Ramban,CUST10020,JK19UF2846,JK19,Tata,Harrier,SUV,Diesel,1956,2025,2025-06-09,1,2206438,SecureEliteInsurance Consultants,Agency,Janipur,Jammu,93,2024-10-19,Active,1
PID10044,POL10023,CUST10020,VEH10023,IMD10364,2026-06-20,2027-06-19,2206438,2,365,Active,0.0,0,20,52954.51,Ekbal Garg,8570558190,Banihal,Ramban,CUST10020,JK19UF2846,JK19,Tata,Harrier,SUV,Diesel,1956,2025,2025-06-09,1,2206438,SecureEliteInsurance Consultants,Agency,Janipur,Jammu,93,2024-10-19,Active,0
PID10045,POL10024,CUST10021,VEH10024,IMD10239,2023-04-05,2024-04-03,368200,1,365,Active,0.0,0,0,11046.0,Nihal Shere,8621825645,Bakshi Nagar,Jammu,CUST10021,JK02XV6913,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,368200,ReliableVisionInsurance Solutions,Agency,Trikuta Nagar,Jammu,258,2020-11-27,Active,1
PID10046,POL10024,CUST10021,VEH10024,IMD10239,2024-04-04,2025-04-03,368200,2,365,Active,40844.45,0,20,8836.8,Nihal Shere,8621825645,Bakshi Nagar,Jammu,CUST10021,JK02XV6913,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,368200,ReliableVisionInsurance Solutions,Agency,Trikuta Nagar,Jammu,258,2020-11-27,Active,1
PID10047,POL10024,CUST10021,VEH10024,IMD10239,2025-04-04,2026-04-03,368200,3,365,Active,0.0,0,25,8284.5,Nihal Shere,8621825645,Bakshi Nagar,Jammu,CUST10021,JK02XV6913,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,368200,ReliableVisionInsurance Solutions,Agency,Trikuta Nagar,Jammu,258,2020-11-27,Active,1
PID10048,POL10024,CUST10021,VEH10024,IMD10239,2026-04-04,2027-04-03,368200,4,365,Active,0.0,0,35,7179.9,Nihal Shere,8621825645,Bakshi Nagar,Jammu,CUST10021,JK02XV6913,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,368200,ReliableVisionInsurance Solutions,Agency,Trikuta Nagar,Jammu,258,2020-11-27,Active,0
PID10049,POL10025,CUST10022,VEH10025,IMD10267,2025-06-26,2026-06-25,352433,1,365,Active,0.0,0,0,10572.99,Anamika Kanda,9272362370,Akhnoor,Jammu,CUST10022,JK02VW4380,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2021,2022-05-29,5,352433,Royal Summit Insurance Hub,POSP,Janipur,Jammu,96,2021-07-19,Active,1
PID10050,POL10025,CUST10022,VEH10025,IMD10267,2026-06-26,2027-06-25,352433,2,365,Active,0.0,0,20,8458.39,Anamika Kanda,9272362370,Akhnoor,Jammu,CUST10022,JK02VW4380,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2021,2022-05-29,5,352433,Royal Summit Insurance Hub,POSP,Janipur,Jammu,96,2021-07-19,Active,0
PID10051,POL10026,CUST10023,VEH10026,IMD10360,2025-10-27,2026-10-26,976990,1,365,Active,0.0,1,0,32240.67,Daksh Karnik,9902298831,Narwal,Jammu,CUST10023,JK02MP5071,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2025,2025-02-16,1,976990,Mahajan Guardian Insurance Associates,Prime Broker,Trikuta Nagar,Jammu,488,2021-03-24,Active,0
PID10052,POL10027,CUST10024,VEH10027,IMD10373,2025-12-31,2026-12-30,528581,1,365,Active,61569.29,0,0,15857.43,Diya Rattan,8696082691,Reasi,Reasi,CUST10024,JK20HJ3613,JK20,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2025,2026-05-03,1,528581,MahajanEliteInsurance,Agency,Janipur,Jammu,92,2023-07-15,Active,0
PID10053,POL10028,CUST10025,VEH10028,IMD10082,2024-11-18,2025-11-17,114325,1,365,Active,0.0,1,0,3772.73,Dominic Kakar,6526726249,Channi Himmat,Jammu,CUST10025,JK02KA1573,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015,2015-09-16,11,114325,Gupta Integrity Insurance,Prime Broker,Gandhi Nagar,Jammu,541,2023-05-19,Active,1
PID10054,POL10028,CUST10025,VEH10028,IMD10082,2025-11-18,2026-11-17,114325,2,365,Active,0.0,0,0,3429.75,Dominic Kakar,6526726249,Channi Himmat,Jammu,CUST10025,JK02KA1573,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015,2015-09-16,11,114325,Gupta Integrity Insurance,Prime Broker,Gandhi Nagar,Jammu,541,2023-05-19,Active,0
PID10055,POL10029,CUST10026,VEH10029,IMD10165,2025-12-31,2026-12-30,1111749,1,365,Active,0.0,0,0,33352.47,Simon Tata,6420762754,Katra,Reasi,CUST10026,JK20WY3860,JK20,Tata,Nexon,SUV,Diesel,1199,2025,2025-06-24,1,1111749,North Secure Insurance Hub,Agency,Trikuta Nagar,Jammu,149,2019-06-14,Active,0
PID10056,POL10030,CUST10027,VEH10030,IMD10239,2025-08-26,2026-08-25,335586,1,365,Active,0.0,0,0,10067.58,Tara Dhar,6895851138,Gandhi Nagar,Jammu,CUST10027,JK02SM3511,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2024,2025-01-31,2,335586,ReliableVisionInsurance Solutions,Agency,Trikuta Nagar,Jammu,258,2020-11-27,Active,0
PID10057,POL10031,CUST10028,VEH10031,IMD10180,2025-02-13,2026-02-12,365017,1,365,Active,0.0,0,0,10950.51,Liam Koshy,9822178461,Billawar,Kathua,CUST10028,JK04EA1721,JK04,Kia,Sonet,SUV,Diesel,1197,2019,2019-10-14,7,365017,Trikuta Guardian Insurance Services,Bancassurance,Kathua,Kathua,714,2023-10-19,Active,1
PID10058,POL10031,CUST10028,VEH10031,IMD10180,2026-02-13,2027-02-12,365017,2,365,Active,0.0,0,20,8760.41,Liam Koshy,9822178461,Billawar,Kathua,CUST10028,JK04EA1721,JK04,Kia,Sonet,SUV,Diesel,1197,2019,2019-10-14,7,365017,Trikuta Guardian Insurance Services,Bancassurance,Kathua,Kathua,714,2023-10-19,Active,0
PID10059,POL10032,CUST10029,VEH10032,IMD10365,2022-10-24,2023-10-23,192914,1,365,Active,0.0,0,0,5787.42,Priya Rastogi,9988073988,Mendhar,Poonch,CUST10029,JK12ZE8339,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,192914,Khajuria Smart Risk Advisors,POSP,Poonch,Poonch,72,2018-03-05,Inactive,1
PID10060,POL10032,CUST10029,VEH10032,IMD10365,2023-10-24,2024-10-22,192914,2,365,Active,0.0,0,20,4629.94,Priya Rastogi,9988073988,Mendhar,Poonch,CUST10029,JK12ZE8339,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,192914,Khajuria Smart Risk Advisors,POSP,Poonch,Poonch,72,2018-03-05,Inactive,1
PID10061,POL10032,CUST10029,VEH10032,IMD10365,2024-10-23,2025-10-22,192914,3,365,Active,0.0,0,25,4340.57,Priya Rastogi,9988073988,Mendhar,Poonch,CUST10029,JK12ZE8339,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,192914,Khajuria Smart Risk Advisors,POSP,Poonch,Poonch,72,2018-03-05,Inactive,1
PID10062,POL10032,CUST10029,VEH10032,IMD10365,2025-10-23,2026-10-22,192914,4,365,Active,0.0,2,35,4514.19,Priya Rastogi,9988073988,Mendhar,Poonch,CUST10029,JK12ZE8339,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,192914,Khajuria Smart Risk Advisors,POSP,Poonch,Poonch,72,2018-03-05,Inactive,0
PID10063,POL10033,CUST10029,VEH10033,IMD10017,2024-03-15,2025-03-14,593399,1,365,Active,535624.23,0,0,17801.97,Priya Rastogi,9988073988,Mendhar,Poonch,CUST10029,JK12US1774,JK12,Honda,Amaze,Sedan,Petrol,1199,2023,2023-08-27,3,593399,Verma Vertex Insurance Associates,Bancassurance,Poonch,Poonch,582,2022-09-15,Active,1
PID10064,POL10033,CUST10029,VEH10033,IMD10017,2025-03-15,2026-03-14,593399,2,365,Active,0.0,0,20,14241.58,Priya Rastogi,9988073988,Mendhar,Poonch,CUST10029,JK12US1774,JK12,Honda,Amaze,Sedan,Petrol,1199,2023,2023-08-27,3,593399,Verma Vertex Insurance Associates,Bancassurance,Poonch,Poonch,582,2022-09-15,Active,1
PID10065,POL10033,CUST10029,VEH10033,IMD10017,2026-03-15,2027-03-14,593399,3,365,Active,0.0,0,25,13351.48,Priya Rastogi,9988073988,Mendhar,Poonch,CUST10029,JK12US1774,JK12,Honda,Amaze,Sedan,Petrol,1199,2023,2023-08-27,3,593399,Verma Vertex Insurance Associates,Bancassurance,Poonch,Poonch,582,2022-09-15,Active,0
PID10066,POL10034,CUST10030,VEH10034,IMD10094,2025-04-30,2026-04-29,190782,1,365,Active,0.0,0,0,5723.46,Theodore Devi,7718828437,Udhampur,Udhampur,CUST10030,JK14SO6254,JK14,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2018-09-11,8,190782,Reliable Smart Insurance Point,Prime Broker,Udhampur,Udhampur,403,2025-03-17,Active,1
PID10067,POL10034,CUST10030,VEH10034,IMD10094,2026-04-30,2027-04-29,190782,2,365,Active,23733.46,1,20,5036.64,Theodore Devi,7718828437,Udhampur,Udhampur,CUST10030,JK14SO6254,JK14,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2018-09-11,8,190782,Reliable Smart Insurance Point,Prime Broker,Udhampur,Udhampur,403,2025-03-17,Active,0
